     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
     0.9820      2   -96.447     8.070   0.0000000     0.000
     0.9820      3   -94.747     7.661   0.0647039     0.236
     0.9820      4   -93.047     7.570   0.0647039     0.236
     0.9820      5   -82.847     7.409   0.0646070     0.236
     0.9820      6   -79.447     7.686   0.0646070     0.236
     0.9820      7   -77.747     7.383   0.0646070     0.236
     0.9820      8   -74.347     7.516   0.0646070     0.236
     0.9820      9   -64.887     7.239   0.0646070     0.236
     0.9820     10   -60.747     7.487   0.0646070     0.236
     0.9820     11   -58.768     7.280   0.0809574     0.236
     0.9820     12   -48.571     7.365   0.0809574     0.236
     0.9820     13   -47.147     7.341   0.0809574     0.236
     0.9820     14   -45.447     7.257   0.0809574     0.236
     0.9820     15   -42.047     7.300   0.0729332     0.236
     0.9820     16   -33.547     7.146   0.0729332     0.236
     0.9820     17   -31.847     7.202   0.0729332     0.236
     0.9820     18   -30.216     7.120   0.0729332     0.236
     0.9820     19   -28.447     7.300   0.0729332     0.236
     0.9820     20   -26.747     7.156   0.0729332     0.236
     0.9820     21   -23.347     7.306   0.0724465     0.236
     0.9820     22   -18.246     7.184   0.0724465     0.236
     0.9820     23   -16.546     7.245   0.0000000     0.000
     0.9820     24   -13.146     7.212   0.0000000     0.000
     0.9820     25   -11.446     7.118   0.0000000     0.000
     0.9820     26    -7.781     7.212   0.0000000     0.000
     0.9820     27    -6.346     7.280   0.0000000     0.000
     0.9820     28    -3.703     7.168   0.0000000     0.000
     0.9820     29    -2.946     7.151   0.0000000     0.000
     0.9820     30    -1.663     7.077   0.0000000     0.000
     0.9820     31    -1.246     6.954   0.0000000     0.000
     0.9820     32     0.000     7.136   0.0000000     0.000
     0.9820     33     1.297     6.538   0.0000000     0.000
     0.9820     34     2.250     6.100   0.0735717     0.476
     0.9820     35     2.349     6.059   0.0735717     0.476
     0.9820     36     2.754     5.570   0.0735717     0.476
     0.9820     37     2.794     5.536   0.0735717     0.476
     0.9820     38     3.326     5.504   0.0735717     0.476
     0.9820     39     3.992     5.441   0.0735717     0.476
     0.9820     40     5.250     6.100   0.0714781     0.324
     0.9820     41     8.020     7.494   0.0714781     0.324
     0.9820     42     8.493     7.612   0.0000000     0.000
     0.9820     43    10.564     7.989   0.0000000     0.000
     0.9820     44    11.303     8.735   0.0000000     0.000
     1.0260      1  -142.722     8.329   0.0000000     0.000
     1.0260      2  -132.676     8.299   0.0000000     0.000
     1.0260      3  -127.946     8.370   0.0647039     0.212
     1.0260      4  -117.946     7.824   0.0647039     0.212
     1.0260      5  -107.946     8.048   0.0646070     0.212
     1.0260      6  -102.540     7.977   0.0646070     0.212
     1.0260      7   -87.946     7.458   0.0646070     0.212
     1.0260      8   -72.404     7.306   0.0646070     0.212
     1.0260      9   -47.945     7.341   0.0646070     0.212
     1.0260     10   -42.267     7.227   0.0646070     0.212
     1.0260     11   -12.131     7.261   0.0809574     0.212
     1.0260     12   -12.020     7.259   0.0809574     0.212
     1.0260     13    -2.085     7.153   0.0809574     0.212
     1.0260     14     0.000     7.357   0.0809574     0.212
     1.0260     15     1.329     7.326   0.0729332     0.212
     1.0260     16     1.882     7.269   0.0729332     0.212
     1.0260     17     2.633     7.146   0.0729332     0.212
     1.0260     18     3.806     6.635   0.0729332     0.212
     1.0260     19     4.610     6.223   0.0718745     0.459
     1.0260     20     4.946     6.108   0.0718745     0.459
     1.0260     21     5.095     5.983   0.0718745     0.459
     1.0260     22     5.445     5.645   0.0718745     0.459
     1.0260     23     6.017     5.568   0.0718745     0.459
     1.0260     24     6.690     5.518   0.0718745     0.459
     1.0260     25     6.963     5.659   0.0718745     0.459
     1.0260     26     7.766     6.085   0.0718745     0.459
     1.0260     27     7.950     6.200   0.0000000     0.000
